K,BIC,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,-33001.18379125826,0.39328320825466934,0.8713875022321802,686.5362669623942
3,-38917.38802424924,0.43583937071125506,1.5231282344890038,572.1912674044131
4,-46156.53762760324,0.526338286630578,1.334702725209924,651.2412683122245
5,-49515.72736295423,0.5682197833991764,1.5304539148630707,664.1666256515238
6,-49861.636551250354,0.5845678286368381,1.0951763808803345,744.7665824431365
7,-50458.67721406596,0.5599806537372328,1.2609393343272515,846.9368633971135
8,-50850.063191857276,0.5619968126926196,1.1165085182210148,936.9958706632414
