一级维度,业务权重,CRITIC权重,混合权重
设计质量与创意,0.2,0.1992,0.1994
关键词管理与运用,0.3,0.065,0.1355
出价策略与预算,0.25,0.3155,0.2959
投放策略与时间,0.25,0.4203,0.3692
