lambda,objective,total_cost,n_active,solve_time_s
0.0,32505.649976111956,23487.919940000007,39,3.1
0.5,32505.649976111956,23487.919940000007,39,3.0
1.0,32505.649976111956,23487.919940000007,39,3.1
