metric,pct,total_cost,total_clicks,total_browses,total_regs,total_top_imp
r_click,-0.3,51164.9296,37940.141140692445,111164.61354222888,37121.49993763882,13814.530992000002
r_click,-0.15,51164.9296,46070.171385126545,134985.60215842078,37121.49993763882,13814.530992000002
r_click,0.0,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_click,0.15,51164.9296,62330.23187399473,182627.57939080455,37121.49993763882,13814.530992000002
r_click,0.3,51164.9296,70460.26211842884,206448.56800699653,37121.49993763882,13814.530992000002
r_browse,-0.3,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_browse,-0.15,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_browse,0.0,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_browse,0.15,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_browse,0.3,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_reg,-0.3,51164.9296,54200.201629560645,158806.59077461268,25985.049956347175,13814.530992000002
r_reg,-0.15,51164.9296,54200.201629560645,158806.59077461268,31553.274946993,13814.530992000002
r_reg,0.0,51164.9296,54200.201629560645,158806.59077461268,37121.49993763882,13814.530992000002
r_reg,0.15,51164.9296,54200.201629560645,158806.59077461268,42689.72492828464,13814.530992000002
r_reg,0.3,51164.9296,54200.201629560645,158806.59077461268,48257.94991893046,13814.530992000002
