ds,y,yhat,residual,Z_Residual
2025-01-01,937.45,2481.5040078239235,-1544.0540078239235,-0.9239304538326031
2025-01-02,3330.7699999999995,2810.4480521355936,520.321947864406,0.3117355520975139
2025-01-03,3252.7,2904.741281029216,347.9587189707836,0.20856472120824143
2025-01-04,2895.55,2923.2655913859894,-27.715591385989228,-0.01630128409955761
2025-01-05,2868.9,1027.2401948157942,1841.6598051842059,1.1026439465397513
2025-01-06,711.6300000000001,773.7535935211338,-62.12359352113367,-0.03689675676683754
2025-01-07,596.8199999999999,3271.579820473729,-2674.7598204737287,-1.6007329187853054
2025-01-08,2860.9,3961.3961736832935,-1100.4961736832934,-0.6584316546427942
2025-01-09,3174.3199999999997,4269.155550116484,-1094.8355501164842,-0.6550433957868433
2025-01-10,4556.95,4322.676918618206,234.27308138179342,0.14051632268658432
2025-01-11,4993.379999999999,4280.797183495602,712.5828165043968,0.426816440825371
2025-01-12,4799.78,2305.106250535678,2494.6737494643216,1.493516127608259
2025-01-13,839.02,1953.4894950046637,-1114.4694950046637,-0.6667956147534411
2025-01-14,788.7099999999999,4335.944891761619,-3547.234891761619,-2.122967148282729
2025-01-15,6368.61,4894.7916967746505,1473.8183032253492,0.8824663968602011
2025-01-16,7534.4,5058.023679135341,2476.3763208646587,1.4825639023344483
2025-01-17,7197.6900000000005,4955.8705851699415,2241.819414830059,1.3421660283694516
2025-01-18,4692.9,4749.911472412625,-57.01147241262515,-0.03383681303198838
2025-01-19,4978.52,2604.7623546849313,2373.757645315069,1.421139815020895
2025-01-20,2492.9300000000003,2081.563218911851,411.3667810881493,0.246518654281546
2025-01-21,1183.02,4293.732749660415,-3110.712749660415,-1.8616796776822477
2025-01-22,4317.639999999999,4687.108918245029,-369.4689182450293,-0.22086332971417713
2025-01-23,5633.33,4693.2298703124225,940.1001296875775,0.5630006513061954
2025-01-24,5363.98,4445.820357293441,918.1596427065588,0.5498678138299145
2025-01-25,6020.49,4109.828552864532,1910.6614471354678,1.1439460083456912
2025-01-26,6023.3,1853.039713694628,4170.260286305373,2.4964658654520613
2025-01-27,2505.41,1239.4888845199134,1265.9211154800864,0.7580261334879044
2025-01-28,1640.0,3385.147291658188,-1745.147291658188,-1.044298129192397
2025-01-29,638.08,3737.9999276967,-3099.9199276967,-1.8552194575019698
2025-01-30,608.5699999999999,3731.270757490629,-3122.7007574906293,-1.8688552959187432
2025-01-31,721.31,3499.8621820088974,-2778.5521820088975,-1.6628595350495667
2025-02-01,803.04,3209.355270399496,-2406.315270399496,-1.4400510410052805
2025-02-02,1155.04,1027.595918846299,127.44408115370106,0.07657207664670068
2025-02-03,1403.28,518.0944924213202,885.1855075786798,0.5301306057209968
2025-02-04,1806.3899999999999,2795.709497665726,-989.319497665726,-0.5918850361217466
2025-02-05,2007.82,3306.7353139414604,-1298.9153139414605,-0.7771986776103457
2025-02-06,2043.97,3482.149900734422,-1438.1799007344218,-0.8605577747049387
2025-02-07,2523.3399999999997,3454.08877825936,-930.7487782593603,-0.5568265736774939
2025-02-08,1938.27,3384.891184347749,-1446.621184347749,-0.8656104431293418
2025-02-09,6023.95,1438.742684037401,4585.207315962599,2.744839199483724
2025-02-10,6045.35,1175.1406688016805,4870.20933119832,2.9154318189520776
2025-02-11,6026.83,3704.651950639382,2322.178049360618,1.390266003908677
2025-02-12,5596.5,4469.08094719843,1127.4190528015697,0.675123457678555
2025-02-13,4784.7699999999995,4894.802687818641,-110.03268781864153,-0.06557352905495104
2025-02-14,2291.69,5109.32513769588,-2817.6351376958796,-1.6862532776576444
2025-02-15,4297.860000000001,5270.424860509467,-972.5648605094666,-0.5818562739097878
2025-02-16,4163.5599999999995,3537.878392799734,625.6816072002657,0.3748003001047587
2025-02-17,3486.36,3467.0138690557233,19.346130944276865,0.011868279832726302
2025-02-18,4774.400000000001,6164.550265079344,-1390.1502650793436,-0.8318088504149344
2025-02-19,6011.5,7068.841015233466,-1057.3410152334664,-0.6326004284409763
2025-02-20,7039.79,7603.2746364840805,-563.4846364840805,-0.3369946123826844
2025-02-21,9725.85,7892.895429481692,1832.9545705183082,1.0974332858940223
2025-02-22,11883.539999999999,8093.587062262093,3789.952937737906,2.2688266793167315
2025-02-23,5409.82,6363.8404286558325,-954.0204286558328,-0.5707562007968057
2025-02-24,4136.360000000001,6258.329595877935,-2121.969595877935,-1.2698512850105401
2025-02-25,9347.93,8883.762755824111,464.1672441758892,0.2781232353924192
2025-02-26,11830.61,9679.124764720695,2151.485235279306,1.2880950271369098
2025-02-27,10743.59,10069.064010928967,674.5259890710331,0.40403690407317305
2025-02-28,11046.39,10180.487071388528,865.902928611471,0.518588702575502
2025-03-01,11748.529999999999,10171.704614577684,1576.8253854223149,0.9441229713277137
2025-03-02,7925.84,8204.150842680725,-278.3108426807248,-0.1662991720420046
2025-03-03,6201.39,7835.901417969986,-1634.5114179699858,-0.978075216754286
2025-03-04,8578.15,10177.458108689812,-1599.3081086898128,-0.9570036999824053
2025-03-05,8898.189999999999,10671.918229179124,-1773.7282291791253,-1.0614057169914706
2025-03-06,9476.79,10748.283229825984,-1271.4932298259828,-0.7607847404784565
2025-03-07,11087.039999999999,10537.971602763531,549.0683972364677,0.32894220972320987
2025-03-08,11077.67,10203.88131501203,873.7886849879706,0.5233088510826756
2025-03-09,5910.83,7912.025825346316,-2001.1958253463163,-1.1975601685388966
2025-03-10,4137.0,7224.970355927157,-3087.9703559271566,-1.848066845798486
2025-03-11,7027.45,9257.538314684878,-2230.0883146848782,-1.3345675132083787
2025-03-12,8650.55,9456.907490634321,-806.357490634322,-0.48237013315918487
2025-03-13,8223.18,9255.851784709868,-1032.671784709868,-0.6178342568691416
2025-03-14,5448.18,8789.194879072706,-3341.0148790727053,-1.9995307854826188
2025-03-15,7132.08,8222.822093075929,-1090.742093075929,-0.6525931900974137
2025-03-16,7194.849999999999,5725.275308498,1469.574691501999,0.8799263136285294
2025-03-17,8039.120000000001,4861.1582272566375,3177.9617727433633,1.902509354010945
2025-03-18,6559.960000000001,6746.822213395984,-186.86221339598342,-0.11156109868637759
2025-03-19,14977.470000000001,6830.452456596683,8147.017543403318,4.876818990032684
2025-03-20,13076.08,6545.310098559876,6530.769901440124,3.9093875186306075
2025-03-21,10645.3,6026.196374262341,4619.103625737658,2.765128390316482
2025-03-22,7048.21,5438.484456849051,1609.7255431509493,0.9638158990538833
2025-03-23,3228.01,2949.7431294411294,278.2668705588708,0.16684952503200925
2025-03-24,4139.45,2123.1786216966207,2016.2713783033792,1.2071605606529985
