method,total_cost,total_clicks,total_regs,cpc_eff,reg_per_cost,hhi,n_active_rows,click_diff_vs_milp,reg_diff_vs_milp
MILP,51164.92960000001,54200.20162956064,3794.4193052454843,1.0593232914281314,0.07416054971461318,0.5061734331567764,89,,
等比例 (equal),29846.209166666667,31285.00312015652,2190.1840995927932,1.0482069245529764,0.07338232092934839,0.0918367346938776,8640,-42.278806757992264,-42.278806757992264
历史同期 (historical),51164.92999999999,54200.20202556546,3794.4193329687823,1.0593232908862664,0.0741605496766786,0.5061734361818607,8640,7.306334808187926e-07,7.306334845861194e-07
