策略,总成本_元,期望注册数,注册数标准差,5%分位,50%分位,95%分位,最坏情况注册数,worst-case regret_%
baseline (r=1),1425949.7899999998,85347.03483928838,781.0802874490279,84210.49567408548,85287.7777096759,86770.20309170893,83407.12766911389,0.0
nominal (Q3 MILP),1425949.7899999998,103852.64532522921,1259.6116908356269,101777.45657017488,103729.8385327027,106069.59499647442,100170.8512336966,3.55
SAA,1425949.7900000014,103872.54910722446,1259.1525141361028,101739.2878687538,103778.1096114545,105986.24645109678,100283.76272706718,3.45
DRO,1425949.7900000017,103782.94651080859,1262.3234850238014,101808.60169682254,103654.87312603893,106054.896880012,100261.32341790671,3.39
