scenario_type,metric,pct,label,total_cost,total_clicks,total_browses,total_regs,total_top_imp,w_click,w_browse
ratio_pct,r_click,-0.3,r_click_pct=-30%,51164.9296,37940.141140692445,111164.6135422289,2656.0935136718394,297445.99775277224,,
ratio_pct,r_click,-0.15,r_click_pct=-15%,51164.9296,46070.171385126545,134985.60215842078,3225.256409458662,297445.99775277224,,
ratio_pct,r_click,0.0,r_click_pct=+0%,51164.9296,54200.201629560645,158806.5907746127,3794.4193052454852,297445.99775277224,,
ratio_pct,r_click,0.15,r_click_pct=+15%,51164.9296,62330.23187399474,182627.57939080457,4363.582201032308,297445.99775277224,,
ratio_pct,r_click,0.3,r_click_pct=+30%,51164.9296,70460.26211842884,206448.56800699647,4932.7450968191315,297445.99775277224,,
ratio_pct,r_browse,-0.3,r_browse_pct=-30%,51164.9296,54200.201629560645,158806.5907746127,3794.4193052454852,297445.99775277224,,
ratio_pct,r_browse,-0.15,r_browse_pct=-15%,51164.9296,54200.201629560645,158806.5907746127,3794.4193052454852,297445.99775277224,,
ratio_pct,r_browse,0.0,r_browse_pct=+0%,51164.9296,54200.201629560645,158806.5907746127,3794.4193052454852,297445.99775277224,,
ratio_pct,r_browse,0.15,r_browse_pct=+15%,51164.9296,54200.201629560645,158806.5907746127,3794.4193052454852,297445.99775277224,,
ratio_pct,r_browse,0.3,r_browse_pct=+30%,51164.9296,54200.201629560645,158806.5907746127,3794.4193052454852,297445.99775277224,,
weight,objective_weights,0.0,"W=(1.0,0.0)",51164.9296,54200.201629560645,158806.59077461285,3794.4193052454866,297445.9977527722,1.0,0.0
weight,objective_weights,0.0,"W=(0.7,0.3)",51164.9296,54200.201629560645,158806.59077461285,3794.4193052454866,297445.9977527722,0.7,0.3
weight,objective_weights,0.0,"W=(0.3,0.7)",51164.9296,54200.201629560645,158806.59077461285,3794.4193052454866,297445.9977527722,0.3,0.7
