维度,基准权重,扰动下限,扰动上限,极差,相对变化(%)
出价策略与预算,0.3216,69.39,77.09,7.7,10.51
投放策略与时间,0.3079,71.09,75.39,4.3,5.87
关键词管理与运用,0.1483,71.7,74.38,2.68,3.66
设计质量与创意,0.2222,72.15,74.33,2.18,2.98
