method,total_cost,total_clicks,total_regs,cpc_eff,reg_per_cost,hhi,n_active_rows,click_diff_vs_tsp
Two-Stage SP,23487.919940000007,29343.6513166497,4688.403994531277,1.2493082142483534,0.19960916107121557,0.173554422746522,39,
等比例 (equal),21530.684999999998,20504.489567427645,3276.120267255434,0.9523380035250921,0.15216052193673515,0.09090909090909091,15470,-30.12291024671044
历史同期 (historical),23488.019999999997,12843.000000000002,2052.0,0.5467893845458239,0.0873636858279242,0.6789295885082106,15470,-56.232440668647
