unit_id,r_click,r_browse,r_topimp,r_click_16d,unit_cvr_annual,r_reg,cvr_global,cvr_16d,actual_clicks,actual_cost,actual_top_imps,actual_browses,actual_regs,pred_clicks,ratio_clicks,pred_topimp,ratio_topimp,pred_regs,ratio_regs,pass_clicks,pass_topimp,pass_regs
1841014603,0.9482546036370311,2.816089646906345,5.378564405113077,0.7112422156669944,0.09876276078579123,0.09876276078579123,0.10219389924713859,0.07000747582414932,217,305.1,1641,1134,13.234333197191347,217.0,1.0,1641.0,1.0,15.191622253840402,1.1478947996461537,1,1,1
2526158329,0.6404098623118796,2.305475504322766,2.9225908372827805,0.5529225908372828,0.08738952855260829,0.08738952855260829,0.10219389924713859,0.07000747582414932,7,12.66,37,37,0.36296683210513353,7.0,1.0,37.0,1.0,0.4900523307690452,0.4900523307690452,1,1,0
2874903000,0.9843237331388989,1.0780688505806988,7.959308417743625,0.6811037373384561,0.09499351084473912,0.09499351084473912,0.10219389924713859,0.07000747582414932,156,229.04000000000002,1823,815,9.038027261185341,156.0,1.0,1823.0,1.0,10.921166228567294,1.2083573010970292,1,1,0
4190988309,0.6340057636887607,5.878962536023054,8.671277161681058,0.4746900192331301,0.09763338068685454,0.09763338068685454,0.10219389924713859,0.07000747582414932,116,244.37,2119,606,7.0230659935678625,116.0,1.0,2119.0,1.0,8.12086719560132,1.1563136674265753,1,1,0
4190988310,0.6247480854494156,1.1487303506650546,4.002213990718269,0.510920934985311,0.10268829197707038,0.10268829197707038,0.10219389924713859,0.07000747582414932,120,234.87,940,627,6.941669039248473,120.0,1.0,940.0,1.0,8.400897098897918,1.210212853911489,1,1,0
8878077181,1.6688052383518903,16.484209075277768,1.9529938573886145,1.4528792477905816,0.09852013280059249,0.09852013280059249,0.10219389924713859,0.07000747582414932,6275,4319.01,8435,32791,388.6845475311201,6275.0,1.0,8435.0,1.0,439.29691079653696,1.1302144980727966,1,1,1
9628223555,1.3340254467192707,3.613147638490386,8.727018268758174,0.6118742762889345,0.0871650368677684,0.0871650368677684,0.10219389924713859,0.07000747582414932,1469,2400.82,20952,7676,126.0877592141727,1469.0,1.0,20952.0,1.0,102.84098198567534,0.8156301819194806,1,1,0
9630806627,1.0647233944448342,0.8916274427536117,9.60493904584714,1.0800678700713193,0.09351398393827172,0.09351398393827172,0.10219389924713859,0.07000747582414932,3100,2870.19,27568,16200,189.83596809333244,3100.0,1.0,27568.0,1.0,217.0231750548629,1.1432142034757287,1,1,1
9657930100,0.9900120035449723,0.9895445757812589,5.618069493970923,0.6235936458983696,0.10445910068516953,0.10445910068516953,0.10219389924713859,0.07000747582414932,22323,35797.35,201112,116652,1755.0815134960915,22323.0,1.0,201112.0,1.0,1562.7768828224853,0.8904298010121827,1,1,1
9700005700,1.7114869462340545,2.0051123929554415,7.273500638026372,0.5033319154969517,0.06605416198692816,0.06605416198692816,0.10219389924713859,0.07000747582414932,71,141.06,1026,371,4.821465383173804,71.0,1.0,1026.0,1.0,4.970530783514602,1.030917032166406,1,1,1
9773660250,0.3623188405797102,1.0869565217391306,9.550609583215198,0.8382950571779606,0.07280726756640443,0.07280726756640443,0.10219389924713859,0.07000747582414932,1774,2116.2,20211,9270,112.88341141012666,1774.0,1.0,20211.0,1.0,124.19326211204088,1.1001905466944422,1,1,1
9811363528,1.3877455753767076,1.419890810771017,4.643461387345345,2.3409748783206243,0.12633674968055286,0.12633674968055286,0.10219389924713859,0.07000747582414932,5839,2494.2599999999998,11582,30513,289.00527254868473,5839.0,1.0,11582.0,1.0,408.77365133720787,1.414415895365187,1,1,0
