方案ID,当前CRITIC综合分,等权综合分,熵权综合分,TOPSIS综合分,当前CRITIC排名,等权排名,熵权排名,TOPSIS排名
500635396,66.51,65.5,70.33,56.92,1,1,2,2
495403620,64.49,64.89,70.9,58.3,3,2,1,1
525368335,42.46,43.58,39.53,23.39,5,5,5,5
495817671,60.32,58.9,60.09,54.24,4,4,4,4
63563817,65.83,62.62,69.92,56.84,2,3,3,3
