一级维度,业务权重,CRITIC权重,混合权重
设计质量与创意,0.2,0.2317,0.2222
关键词管理与运用,0.3,0.0832,0.1483
出价策略与预算,0.25,0.3523,0.3216
投放策略与时间,0.25,0.3327,0.3079
